action step section_index gas_present structure_stable can_check_section m z section structure_safe_flag distance_to_leader lead_retry_count current_speed_lead current_energy_lead current_energy_lead2 send_data section_gas_check gas_detected_flag send_gas_data x distance_gas_detector_to_leader current_speed_gas_detector current_energy_gas_detector section_safety_check structure_ok_flag send_structure_data distance_safety_assessment_to_leader y current_speed_safe_detector current_energy_safe_detector current_section section_safe_to_check section_safe leader_retry_count sending_flag connection_success k current_speed_leader current_energy_leader wait
[next_section] 102 3 true true true 0 0 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 0
[initialize_section1] 103 3 true true true 1 1 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 0
lead_robot 104 3 true true true 1 1 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 0
[wait_to_get_from_lead] 105 3 true true true 1 1 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 1
[wait_to_get_from_lead] 106 3 true true true 1 1 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
[check_distance] 107 3 true true true 1 2 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
lead_robot 108 3 true true true 1 2 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
[check_env] 109 3 true true true 1 3 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
lead_robot 110 3 true true true 1 3 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
lead_robot 111 3 true true true 1 3 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
[lead_unsafe_signal1] 112 3 true true true 1 4 3 false 20 0 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
[checkconnection] 113 3 true true true 1 4 3 false 20 1 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
lead_robot 114 3 true true true 1 4 3 false 20 1 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
lead_robot 115 3 true true true 1 4 3 false 20 1 20 100 101 false 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
[checkconnection] 116 3 true true true 1 5 3 false 20 0 20 100 101 true 3 false false 0 20 20 100 3 true false 20 0 20 100 3 false false 0 false false 0 20 100 2
